src,dst,pair_count,max_score,mean_score
440683000,412690730,1,14.510311126708984,14.510311126708984
740377000,470100540,1,14.496191024780272,14.496191024780272
412280982,725002360,1,14.491344451904297,14.491344451904297
740338000,512236000,1,14.486841201782228,14.486841201782228
412270002,512003817,1,14.46156883239746,14.46156883239746
740372000,273431690,1,14.425603866577148,14.425603866577148
412270002,740338000,1,14.391571044921877,14.391571044921877
701000627,272323000,1,14.379627227783203,14.379627227783203
412690730,470100540,1,14.309173583984377,14.309173583984377
412420458,224567000,1,14.299272537231444,14.299272537231444
272323000,725000591,1,14.226485252380373,14.226485252380373
412331036,440684000,1,14.197720527648926,14.197720527648926
412280982,272178000,1,14.185641288757324,14.185641288757324
740336000,512236000,1,14.18104362487793,14.18104362487793
412420457,440684000,1,14.178960800170898,14.178960800170898
