src,dst,score
412420679,412413383,30.832733154296875
413080492,412426537,30.824628829956055
701006083,412443375,30.823287963867188
412410389,800000142,30.823110580444336
412985698,412443375,30.821746826171875
244567000,412435823,30.821453094482422
227314040,413037008,30.819915771484375
412450427,111203412,30.81510353088379
412420012,500080001,30.813894271850586
412420104,900304132,30.81105613708496
263500215,413000084,30.81097412109375
412461376,412427825,30.810901641845703
412435485,412366519,30.809226989746094
800025608,900900683,30.808300018310547
412427825,263428000,30.807918548583984
412410161,412421558,30.806129455566406
412436203,412599116,30.804738998413086
412423917,412328267,30.804439544677734
412435045,412438482,30.80122184753418
412430728,412437524,30.798309326171875
412417761,412120301,30.796438217163086
412433475,224108460,30.795625686645508
412452644,412412008,30.792526245117188
412432829,244567000,30.792016983032227
412435823,224046990,30.79051971435547
412286118,245715000,30.78793716430664
412330253,412471156,30.78556251525879
412418098,412450427,30.784732818603516
412427825,412422099,30.7845458984375
900017669,219014161,30.784387588500977
412230888,200011141,30.782470703125
412428618,412421951,30.78167724609375
412443375,412410076,30.780799865722656
413060492,412441512,30.778722763061523
200004826,412423558,30.778533935546875
412417953,412328267,30.777124404907227
412422997,800000142,30.773746490478516
245715000,412451685,30.772239685058594
412438482,415140625,30.76824378967285
200006342,412433479,30.767852783203125
412412008,412410666,30.764970779418945
412206991,412430057,30.763702392578125
412844812,412433185,30.76327133178711
412433506,412322072,30.762523651123047
412423292,800654478,30.761198043823242
224108460,224213490,30.76099395751953
412435064,412286118,30.760379791259766
412472966,412421789,30.757579803466797
412283827,412412423,30.757184982299805
800036875,412430057,30.75263786315918
800035047,412410128,30.752492904663086
800011283,227573440,30.75071144104004
412324723,412423056,30.746742248535156
257131740,412422685,30.746728897094727
412452723,412328661,30.74672508239746
100700144,412419034,30.746065139770508
412428027,227314040,30.746044158935547
412436402,412437072,30.746013641357422
247092860,412422263,30.744434356689453
412410076,412324723,30.743803024291992
412414311,412436064,30.743633270263672
412320804,412422887,30.74301528930664
412433475,251361740,30.741626739501953
412541220,200004019,30.7415771484375
247092860,232005780,30.740276336669922
412436105,412419758,30.737590789794922
412441512,247088060,30.736751556396484
412320804,412423091,30.735998153686523
900011198,412435064,30.73482894897461
412423225,412428076,30.731719970703125
412418779,412430303,30.730487823486328
900202306,412428306,30.730453491210938
245715000,412432565,30.729736328125
800029403,200006274,30.728164672851562
412416248,412412423,30.72480583190918
412461947,412417761,30.72327423095703
412423326,800035047,30.7217960357666
900017023,200005362,30.721405029296875
247053120,200004441,30.71874237060547
227309340,412423056,30.717771530151367
412427799,412471156,30.713804244995117
412422153,412415706,30.71336555480957
412449591,422574777,30.713001251220703
200005362,412423069,30.712329864501953
412413146,412421789,30.708799362182617
412421558,412437072,30.70724868774414
412441967,800010420,30.705631256103516
800038148,413250104,30.705535888671875
412414618,900017023,30.705158233642578
412433508,500080001,30.704208374023438
412428015,257913000,30.70412826538086
412422263,247121920,30.70409393310547
247113090,247094260,30.70383071899414
412422997,413431686,30.703750610351562
412421739,100700144,30.70302391052246
224213490,412417222,30.70273780822754
412430201,224010540,30.702049255371094
247113090,228806000,30.701385498046875
412449059,412423393,30.700820922851562
